subject,video_name,start_frame,apex_frame,end_frame,type_idx,au,Converted_Column
sub01,EP02_01f,46,59,86,2,12,2
sub01,EP03_02,131,139,161,2,18,4
sub01,EP04_02,21,54,76,2,4,4
sub01,EP04_03,31,41,56,2,4,4
sub01,EP04_04,23,49,66,2,4,4
sub01,EP19_01,26,49,66,2,4,4
sub01,EP19_03f,81,96,161,2,4,4
sub01,EP19_05f,396,416,446,2,4+7+L10,1
sub01,EP19_06f,36,71,161,2,4+7+L10,1
sub02,EP01_11f,46,91,96,2,15,1
sub02,EP02_04f,31,79,141,2,12+15,1
sub02,EP03_02f,16,81,136,2,15,1
sub02,EP06_01f,56,121,155,2,15,1
sub02,EP06_02f,36,64,111,2,15,1
sub02,EP08_04,16,69,106,2,14,4
sub02,EP09_01,26,56,125,2,1+12,2
sub02,EP09_06f,11,49,151,2,4,4
sub02,EP09_10,26,36,66,2,17,4
sub02,EP11_01,16,69,106,2,1+L2,3
sub02,EP13_04,21,51,76,2,1,3
sub02,EP14_01,81,114,126,2,1+L2,3
sub02,EP15_04,26,66,96,2,17,4
sub03,EP01_2,51,69,91,2,1,3
sub03,EP07_03,16,46,76,2,4,4
sub03,EP07_04,21,81,106,2,4+L10,1
sub03,EP08_1,11,44,91,2,4+17,4
sub03,EP09_03,61,76,121,2,4+17,1
sub03,EP18_06,26,81,126,2,4+7,1
sub03,EP19_08,101,121,141,2,4+7,1
sub04,EP12_01f,261,300,321,2,4+7+L10,1
sub04,EP12_02f,356,387,406,2,4+9+L10+14,1
sub04,EP13_02f,51,81,111,2,4,4
sub04,EP13_06f,71,108,161,2,4+6+7,1
sub04,EP19_01f,191,209,226,2,4,4
sub05,EP02_07,36,66,101,2,1+2,3
sub05,EP03_01,41,81,101,2,14,2
sub05,EP03_06,33,66,83,2,1,3
sub05,EP03_07,41,64,83,2,4,4
sub05,EP04_05,16,44,66,2,1+2,3
sub05,EP04_06,6,49,91,2,L2+12,3
sub05,EP05_03,51,71,141,2,16+24,4
sub05,EP05_09,49,94,136,2,16+24,4
sub05,EP06_10,85,116,136,2,4,4
sub05,EP07_01,49,66,106,2,6,4
sub05,EP08_05,6,39,71,2,4,4
sub05,EP09_05f,69,69,123,2,R2+15,1
sub05,EP12_03f,11,36,61,2,25,3
sub05,EP12_06,46,76,121,2,17,4
sub05,EP13_04f,36,69,111,2,12+16,4
sub05,EP13_06,16,46,76,2,4,4
sub05,EP16_03f,39,81,138,2,4,4
sub05,EP16_04f,141,181,181,2,4,4
sub05,EP19_03,6,29,58,2,4,4
sub06,EP01_01,81,111,136,2,L14,2
sub06,EP02_31,99,131,148,2,L2+26+38,3
sub06,EP10_08,116,139,161,2,4,4
sub06,EP15_02,56,79,106,2,R1+R2,3
sub06,EP16_05,94,114,151,2,L10,1
sub07,EP01_01,79,109,156,2,4+R10,1
sub07,EP03_04,11,49,76,2,R4,4
sub07,EP06_01,15,49,68,2,4+38,4
sub07,EP06_02_01,11,66,91,2,4+R10,1
sub07,EP06_02_02,36,81,91,2,4+R10,1
sub07,EP08_02,141,174,191,2,R4+R10,1
sub07,EP15_01,36,64,91,2,R10,1
sub07,EP18_01,6,24,51,2,R14,4
sub07,EP18_03,11,54,96,2,7,4
sub08,EP12_07f,26,74,118,2,4+7,4
sub08,EP12_08f,71,106,170,2,4,4
sub08,EP13_01f,49,86,126,2,15+17,1
sub09,EP02_01f,21,74,91,2,L12,2
sub09,EP05_02,66,119,196,2,4+7,4
sub09,EP05_03,91,116,156,2,4+7,4
sub09,EP05_05,46,84,96,2,L12,2
sub09,EP06_01f,66,144,186,2,15,1
sub09,EP06_02f,36,101,131,2,12+15,2
sub09,EP09_04,26,71,146,2,15+17,1
sub09,EP09_05,26,81,111,2,15,1
sub09,EP09f,26,64,86,2,12+15,2
sub09,EP13_01,31,74,121,2,17,1
sub09,EP13_02,71,96,131,2,20,1
sub09,EP15_05,56,91,111,2,L12,2
sub09,EP17_08,6,41,76,2,17,1
sub09,EP18_03,11,39,81,2,4+7,4
sub10,EP06_01f,11,54,101,2,4,4
sub10,EP08_01f,76,114,141,2,4,4
sub10,EP10_01f,111,136,171,2,4,4
sub10,EP11_01,31,64,101,2,4,4
sub10,EP11_01f,36,64,91,2,4,4
sub10,EP12_02f,26,54,86,2,4,4
sub10,EP12_03f,26,81,111,2,4,4
sub10,EP12_04,61,101,146,2,4,4
sub10,EP13_01,11,59,76,2,L20,1
sub10,EP13_02f,41,109,131,2,4,4
sub10,EP13_03f,11,46,76,2,4,4
sub10,EP16_02f,21,64,110,2,4,4
sub10,EP18_01f,11,44,73,2,4,4
sub10,EP19_04f,81,84,126,2,4,4
sub11,EP02_06f,71,96,116,2,4+L14,4
sub11,EP08_01f,96,121,146,2,4,1
sub11,EP12_03f,91,141,185,2,4,4
sub11,EP13_02f,51,111,141,2,4+7+9+10,1
sub11,EP13_03f,6,49,81,2,4,1
